August Schedule for Data Science Bootcamp Cohort - 07,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Monday,,Tuesday ,,Wednesday,,Thursday,,Friday,,Saturday,,Sunday,,,,,,,
29,,30,,31,,1,,2,,3,,4,,,,,,,
(7-9) PM,,(7-9) PM,,(7-9) PM,,(7-9) PM,,(7-9) PM,,(1-3) PM,,,,,,,,,
Python Libraries 02,,EDA 01,,EDA 02,,Statistics,,Coding Interview(Shafiqa Iqbal),,End-to-End Power BI Project with Zain,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Monday,,Tuesday ,,Wednesday,,Thursday,,Friday,,Saturday,,Sunday,,,,,,,
5,,6,,7,,8,,9,,10,,11,,,,,,,
(7-9) PM,,(7-9) PM,,(7-9) PM,,(7-9) PM,,(8-9:30) PM,,(12-2) PM,,,,,,`,,,X 
EDA 03,,EDA 04,,EDA 05,,Case-Study,,Linear Algebera,,Professional Development(Freelancing),,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Monday,,Tuesday ,,Wednesday,,Thursday,,Friday,,Saturday,,Sunday,,,,,,,
12,,13,,14,,15,,16,,17,,18,,,,,,,
(7-9) PM,,(7-9) PM,,(7-9) PM,,(7-9) PM,,(8-10) PM,,(12-2) PM,,,,,,,,,
Machine Learning 01,,Machine Learning 02,,Independence day off,,Machine Learning 03,,Machine Learning 04,,Professional Development(Github),,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Monday,,Tuesday ,,Wednesday,,Thursday,,Friday,,Saturday,,Sunday,,,,,,,
19,,20,,21,,22,,23,,24,,25,,,,,,,
(7-9) PM,,(7-9) PM,,(7-9) PM,,(7-9) PM,,(6-7) PM,,(12-2) PM,,,,,,,,,
Machine Learning 05,,Machine Learning 06,,MLOps 01,,MLOps 02,,MLOps 03,,Low-Code/ no-Code,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Monday,,Tuesday ,,Wednesday,,Thursday,,Friday,,Saturday,,Sunday,,,,,,,
26,,27,,28,,29,,30,,31,,1,,,,,,,
(7-9) PM,,(7-9) PM,,(7-9) PM,,(7-9) PM,,(6-7) PM,,(12-2) PM,,,,,,,,,
Deep Learning 01,,Deep Learning 02,,Deep Learning 03,,Deep Learning 04,,Deep Learning 05,,Professional Development(Freelancing),,,,,,,,,